,DNA_0_11_A,DNA_0_11_B,DNA_0_11_C,DNA_0_5_A,DNA_0_5_B,DNA_0_5_C,DNA_0_7_A,DNA_0_7_B,DNA_0_7_C,DNA_0_9_A,DNA_0_9_B,DNA_0_9_C,DNA_10_11_A,DNA_10_11_B,DNA_10_11_C,DNA_10_5_A,DNA_10_5_B,DNA_10_5_C,DNA_10_7_A,DNA_10_7_B,DNA_10_7_C,DNA_10_9_A,DNA_10_9_B,DNA_10_9_C,DNA_110_11_A,DNA_110_11_B,DNA_110_11_C,DNA_110_5_A,DNA_110_5_B,DNA_110_5_C,DNA_110_7_A,DNA_110_7_B,DNA_110_7_C,DNA_110_9_A,DNA_110_9_B,DNA_110_9_C,DNA_40_11_A,DNA_40_11_B,DNA_40_11_C,DNA_40_5_A,DNA_40_5_B,DNA_40_5_C,DNA_40_7_A,DNA_40_7_B,DNA_40_7_C,DNA_40_9_A,DNA_40_9_B,DNA_40_9_C,DNA_70_11_A,DNA_70_11_B,DNA_70_11_C,DNA_70_5_A,DNA_70_5_B,DNA_70_5_C,DNA_70_7_A,DNA_70_7_B,DNA_70_7_C,DNA_70_9_A,DNA_70_9_B,DNA_70_9_C
DNA_40_7_A,3.0280348621151,5.02613899553414,-3.32751381328269,-7.90056629963816,-8.04657579738961,-5.66625275034085,-6.86587593678518,-7.19278741340007,-7.69694683278575,-5.69603257710266,-5.27757389244922,-3.77908559736177,0.664370124334945,3.92086605594353,0.861872893650625,0.668963827575867,4.80580696923499,2.59464911900224,1.18233903479671,3.95052850490459,2.04971974085923,-0.594050662131394,1.01040206846415,1.25780717670197,-11.5926662413919,-11.5919767167442,-12.5768359076887,-12.2508077974739,-9.87997632636574,-10.6912694455822,-13.3477610809757,-13.0089755320293,-13.0744683855576,-11.8581599654457,-12.056310926917,-11.9100930007063,-6.70113613302542,-10.4881399077479,-11.2099273877559,-8.6509819379335,-11.2943850420685,-10.34814896365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_7_B,-1.26628310540447,-0.638866809106031,-3.92635800358359,-4.68431372722603,-4.29077768186309,-4.54419322519221,-3.68675620188876,-4.10724199918241,-4.29174887932783,-3.7555670624689,-3.14990079968666,-3.09273705830472,0.153807739099208,2.30173364923829,0.259838330649282,1.18743914742854,3.95339873563394,2.61308107403712,1.45294137687874,3.49133701163831,1.92998561344738,0.265467582737102,1.90218859704354,1.08177072180785,-5.84155998302358,-5.85132889842499,-10.1601147520193,-4.14996012859543,-4.53667756144147,-4.60506034520834,-8.83298532905476,-5.72239755786988,-8.78984269940288,-5.37094666395919,-8.22898655641813,-5.43428688611155,-2.9679054544309,-1.50042094840785,-1.5324828680723,-2.20024803801082,-2.38856160899534,-1.05107751548721,-2.95145267212214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_7_C,3.17986824385132,4.33180117594691,-2.28307878190123,-6.83384719196026,-7.14916779165714,-5.30575989731564,-5.7699553752487,-6.7163632768698,-6.99795126946734,-3.91063473240309,-4.15358741280478,-2.45033238487555,1.0138103032414,3.25610089821902,1.24825926427324,1.67679286369866,4.44730105396506,3.00699289784188,1.79694991865278,3.81092642005972,1.84700357539377,0.144765947197605,1.53211098325616,1.46413673480456,-13.5387965398847,-13.3425561013452,-14.3115022993769,-13.3025099250029,-11.5357100772124,-11.7716889267426,-13.705846852051,-13.1604339828289,-14.0568696930438,-13.241870274764,-13.5007143974288,-13.2011633779479,-9.07480736762371,-9.250545849583,-9.42833470022276,-8.0458143944164,-10.0916856518916,-7.73901842333724,-9.43886813910281,-1.50316534989002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_9_A,2.35578089219621,4.81551029167698,-3.8493090974174,-7.15456932279842,-7.21095647081352,-6.82415327300746,-6.24715247041275,-6.78873921536815,-7.10135139372933,-4.6626853871982,-4.14361008377485,-3.07412760078535,1.10211909970195,3.4784884222543,1.12436748071822,1.17473375769177,5.29485404914835,3.0425909628651,2.10828845920424,4.50307455122189,2.62095841758137,0.175828382362732,1.86461783002569,1.64493092312936,-11.693554205404,-11.6634045618612,-12.7763374326451,-11.6200587331049,-11.0598186773213,-12.5120443998043,-12.8732956421108,-12.8304148619942,-12.6625274046067,-12.1727798867375,-11.8837240064719,-12.2078229052558,-7.88303298631034,-9.93565782269664,-10.0846846838872,-8.13435341068024,-10.6048356563843,-9.26721085439927,-9.60138033127276,-2.41117560911879,-9.82962431176357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_9_B,-0.129169945122645,1.67731611722795,-4.4701329647404,-8.43610659923739,-8.3313631700512,-7.65832077315149,-7.27091216646486,-7.77253673029709,-8.16529201865295,-5.52248557357888,-5.54851903112887,-4.1415784715743,-0.0204646214589717,2.88221808485009,0.00811183486003943,0.474843983464797,4.35118798391753,2.0396358315517,0.967020788455891,3.86005614247188,1.83567591080818,-0.80066682987618,0.917142922828799,0.80257078147514,-13.0316922053649,-13.3447158984228,-13.8552486347418,-13.0565463068524,-11.7311848998383,-11.5048271032552,-14.192780100787,-13.5311690301449,-13.8551279848684,-13.2398049464856,-13.451321092098,-12.922178470858,-9.5403144497931,-9.62562087340631,-9.49867143165656,-8.56572355883117,-10.8500576390744,-9.32292954124631,-10.8529206063142,-2.45396554456185,-10.1089417667057,-10.0004778412648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_40_9_C,2.88276805884276,4.11607303275485,-2.29786990533517,-7.56423239957895,-7.36338588703566,-5.91684083172946,-6.05595365418288,-6.80371659435445,-6.97832929692025,-4.12531161072642,-4.01179195991114,-2.60313423225116,1.13694268269691,4.06587321144905,1.16076108345773,1.97591362792802,5.08102837524797,3.5974740635592,2.13444631956874,4.64197338399267,2.42353558851603,0.155077899381632,1.5443701683575,1.35460517686372,-13.5592693087273,-13.4128778048616,-14.1965940071462,-13.1295906050829,-11.1564290166359,-11.9455711270511,-13.7027687474035,-13.7692843034828,-13.9156345849787,-13.9078376424236,-13.0796537303118,-13.52006247533,-8.8309951570444,-8.74928312456109,-8.62586876130286,-7.6095784725137,-9.94651521935994,-8.68853742309766,-9.8387312034606,-0.891648566703067,-7.79805238929576,-9.75570515861295,-9.72439659130344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_70_11_A,-0.629821946080617,1.47516218990307,-6.41991936220485,-8.82291368786638,-9.78541253238358,-8.64752059629966,-8.69288401597284,-8.28120284967897,-8.89003022058304,-7.13801049585135,-7.50116861343173,-6.29296201748156,-3.39712350882154,-1.06587504127389,-3.22836770345888,-3.58041045990973,1.38170853721415,-1.04087566882025,-3.44255118254163,-0.0233190137524878,-2.19606041287758,-4.45858255177492,-3.27771897502103,-3.42868901212847,-12.6756455080822,-13.446168780598,-12.1769206257862,-12.9368583010556,-12.1565369382607,-12.0886984496281,-12.8798518591692,-9.51950147078745,-12.5821772811576,-12.616080700495,-14.4271335876439,-13.4762915880383,-14.3306249926393,-13.8356713653846,-14.6447630589046,-13.440579818228,-14.3381557242526,-13.5083832795302,-13.352439470926,-6.94521227389418,-14.0865023584072,-13.3201332483158,-14.1022422641087,-14.5101513425417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_70_11_B,0.541764368615513,2.84177674615132,-5.53381690482107,-9.16641122257958,-8.96843366175946,-8.22212732645134,-7.60473090957531,-8.74176319266299,-8.37893728432874,-6.14894326966273,-6.74579980663319,-5.38665826718918,-2.45648997101802,-0.229794123232692,-2.29738444816482,-2.95405594989689,1.97307317882003,-0.432431193290839,-2.84885391441633,0.827508429019119,-1.80524754434455,-3.81289543866128,-2.18148434048844,-2.51372733005738,-13.7882163022881,-13.5379094434847,-13.7369692070677,-13.6031094397568,-13.04092224681,-12.3907108254001,-13.8673743130771,-10.4011106227332,-14.0127742700066,-13.6703412930209,-14.4316396244506,-14.3316788237022,-14.9375165904037,-14.5468848126719,-14.8939259815597,-14.2298362321666,-14.9302941246701,-13.8888228497723,-14.6696004853042,-7.06616821481092,-14.7743224465863,-14.2176091509841,-15.2357006104258,-15.1895533913652,-10.9117767240603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_70_11_C,0.719212821504668,2.62119090723829,-5.07230868571727,-9.37578238820225,-8.17184153493234,-7.6588582876116,-7.02062380148803,-7.98870126234539,-7.74401994394231,-5.467915452353,-5.38244527623207,-4.69614912182449,-2.12449381206093,0.147738946069273,-1.86677177373124,-1.98346437907179,1.94721289807359,0.166274327819055,-2.51595583531184,0.799700082695844,-1.40662143142545,-3.1488851083506,-1.8695734315013,-2.35313920645247,-12.1486184806657,-12.5614376771219,-12.1879009192984,-11.9348788763997,-11.6804448226211,-11.6541763981154,-12.2217055652026,-9.26837231798015,-12.2625419786442,-11.8525510428536,-12.8363538973031,-12.8589906709511,-13.8295458316994,-13.5942142481947,-14.2939555404929,-13.4398716450483,-13.9559316622068,-13.1041907650291,-13.446500407553,-6.56417973575972,-14.2319008055719,-13.4632788330692,-13.7747092091059,-14.4708685208854,-11.2094969590005,-8.72598687433164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_70_5_A,1.32345453546098,3.92068735936135,-5.63652653577489,-9.9282666772412,-10.4215178013871,-9.92565264122449,-9.23552288365892,-9.27272617761292,-9.65865435091883,-6.93388340495658,-7.15727375120726,-5.60766876178222,-4.74768958362875,-1.49223962994596,-4.49923077269314,-4.10954732648865,-0.193128545442607,-2.93407316854768,-4.57636948133672,-1.65843128381727,-3.42772161299954,-5.96745848313468,-4.86859899350204,-4.53964956328187,-11.590652994426,-11.0525568122559,-11.127120240136,-12.1728613031858,-11.6435360281764,-10.5656752813584,-11.2768479096009,-9.82516818373356,-12.1935730502828,-11.4030976762704,-12.62342854676,-11.827551201091,-12.986799780325,-11.4526333410193,-12.1976816421771,-12.6458024606373,-12.6415222684065,-11.2384698106093,-12.839609056722,-5.41430843170686,-12.0348504938706,-12.0715520366086,-12.8407141605634,-12.4424696910593,-9.72567755777439,-11.4730601346302,-10.6374304284756,NA,NA,NA,NA,NA,NA,NA,NA,NA
