,cDNA_0_11_A,cDNA_0_11_B,cDNA_0_11_C,cDNA_0_5_A,cDNA_0_5_B,cDNA_0_5_C,cDNA_0_7_A,cDNA_0_7_B,cDNA_0_7_C,cDNA_0_9_A,cDNA_0_9_B,cDNA_0_9_C,cDNA_10_11_A,cDNA_10_11_B,cDNA_10_11_C,cDNA_10_5_A,cDNA_10_5_B,cDNA_10_5_C,cDNA_10_7_A,cDNA_10_7_B,cDNA_10_7_C,cDNA_10_9_A,cDNA_10_9_B,cDNA_10_9_C,cDNA_110_11_A,cDNA_110_11_B,cDNA_110_11_C,cDNA_110_5_A,cDNA_110_5_B,cDNA_110_5_C,cDNA_110_7_A,cDNA_110_7_B,cDNA_110_7_C,cDNA_110_9_A,cDNA_110_9_B,cDNA_110_9_C,cDNA_40_11_A,cDNA_40_11_B,cDNA_40_11_C,cDNA_40_5_A,cDNA_40_5_B,cDNA_40_5_C,cDNA_40_7_A,cDNA_40_7_B,cDNA_40_7_C,cDNA_40_9_A,cDNA_40_9_B,cDNA_40_9_C,cDNA_70_11_A,cDNA_70_11_B,cDNA_70_11_C,cDNA_70_5_A,cDNA_70_5_B,cDNA_70_5_C,cDNA_70_7_A,cDNA_70_7_B,cDNA_70_7_C,cDNA_70_9_A,cDNA_70_9_B,cDNA_70_9_C
cDNA_0_9_C,7.65017903414544,9.33492760069315,-5.51583828970016,-4.01580784616581,-5.46103434303708,-5.73294989467234,-4.72561565537104,-3.76963346824379,-1.93130593244289,-4.32190777913614,-4.07220621206646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_11_A,6.4521199744464,7.72588630650021,-3.61978789791958,-3.17745824630642,-3.25044546796865,-3.89789363982395,-3.39616161113474,-2.95189814955263,-2.64796561280057,-2.65100348458911,-3.69330108169308,-3.22323665348253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_11_B,5.92317738755402,6.79409327253324,-2.22033228370478,-2.54070421531744,-2.09918178093673,-2.30441342126465,-2.21329949499312,-1.69888137769013,-1.44766427900284,-1.99606961370594,-2.31087236514334,-1.97317781044036,-12.6561597687629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_11_C,4.1357316644947,3.82114397160197,-4.69698068464738,-4.37701189266593,-4.9289369487987,-5.14846708950714,-5.55874093653686,-4.24704335909071,-4.47727275526806,-3.1561638282757,-3.96572318115823,-3.95796794540858,-9.10576447372367,-12.2169476539243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_5_A,2.44056237953472,2.34589171892065,-1.07264647436471,-1.2653839686885,-1.25568704401882,-1.31716533644011,-0.908767160457852,-0.512246151104781,-0.459592361319807,-0.737037125435199,-1.03826648689472,-1.03282313329364,-9.0377148473036,-9.96511042136823,-10.2404428136509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_5_B,7.40708660249796,8.48991327610417,0.0258061258896787,0.138413121356966,1.46277147430848,0.274345466026438,-1.4811649201456,0.154152007794424,-1.13358167160863,0.0889945868783773,0.123333178702763,0.425445876270784,-1.82607811976939,-2.42742278509509,-1.90828633018502,-2.67986999017157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_5_C,6.83028411666476,7.78166124204361,-3.04191060601135,-2.50872477540616,-2.07740969190856,-2.709432148311,-3.47439532738241,-2.33878400930784,-2.40752780579842,-1.71935801254232,-2.281509013088,-2.19989299922376,-9.69014211161389,-11.9200519831299,-9.30087655502216,-11.2452608956926,-0.13076876438096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_7_A,9.21163704626876,11.1765569538354,-1.081817709479,-2.64206609600682,-1.46828269027731,-2.7605001938653,-4.01948210051758,-3.69329308320434,-3.73503932994624,-1.58657960306954,-1.98829884716045,-1.99903876810671,-7.88280465527629,-12.150291400288,-8.40097080164688,-11.9899725045059,-1.55744799689215,-12.0284351310534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_7_B,8.8300683469494,9.65617960487363,-0.775787710471476,-1.83752411348994,-0.633749163441867,-1.68485259529191,-1.78920481218211,-1.14473226228146,-1.11211316513493,-0.365038961831083,-0.220022363741193,0.365030867003107,-6.02713607463064,-9.61930742603128,-5.90888303734176,-9.39706654689091,-0.662140285634723,-10.7052443369475,-10.1797426374323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_10_7_C,9.8719573007388,11.3802782712785,0.194165206745133,-0.955636022422209,-0.0964157646751638,-0.929899205996694,-2.15510705143401,-1.77247213438974,-1.64448649984733,-0.94885285501672,-1.10324892677992,-0.524390401702602,-9.61863607373519,-13.319610574605,-7.60414412682496,-9.33005158787192,-4.80577397920836,-9.89210186577085,-8.88859214620165,-9.79507027736585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
